"regiao";"sexo";"idade_quinquenal";"raca_cor";"educ_mae";"ocup_mae";"educ_pai";"ocup_pai";"educ";"pessoas";"classesocial";"rendafa";"rendarange";"ocup";"freq_esc";"peso";"peso_pond";"se_trab";"empregados";"estuda_atualmente"
"169";3;1;1;2;1;9111;99;6225;1;4;1;14;2;NA;1;13020,6875;0,833884358406067;4;0;1
"170";3;2;1;3;1;9111;1;9211;2;5;3;1400;3;9111;1;16499,5625;1,05668199062347;2;1;1
"171";3;1;1;8;9;9211;9;9211;1;4;3;1356;2;7112;1;15773,8125;1,01020276546478;1;1;3
"172";3;2;1;3;1;9994;1;7112;2;4;4;678;1;5243;1;16499,5625;1,05668199062347;2;1;1
"173";3;1;1;5;2;9211;1;7115;1;11;4;800;2;NA;1;13020,6875;0,833884358406067;2;0;1
"174";3;1;2;3;1;5223;1;5221;2;2;3;2000;3;3312;1;18068,78515625;1,1571798324585;1;1;2
"175";3;2;3;3;1;9112;9;6225;2;3;3;650;1;5142;1;15343,6875;0,982656300067902;1;1;2
"176";3;1;1;2;1;5243;1;9411;1;8;2;400;1;NA;1;15773,8125;1,01020276546478;2;0;3
"177";3;2;1;3;1;6225;1;6225;1;7;3;1000;2;9334;1;13286,75;0,850923776626587;2;1;1
"178";3;2;2;2;1;9994;1;6225;2;4;2;678;1;NA;1;16627,4375;1,06487154960632;2;0;2
"179";3;1;3;2;2;9111;2;9211;1;4;4;4000;6;7231;1;14404,0625;0,922479867935181;1;1;3
"180";3;1;2;3;1;9111;1;9211;2;4;4;4746;6;7214;1;16924,091796875;1,08387017250061;1;1;3
"181";3;2;1;3;2;3343;2;8322;2;3;4;1356;2;NA;1;14555,7275390625;0,932192921638489;4;0;1
"182";3;2;3;2;3;2330;1;8332;4;4;4;14;14;4120;1;13474,0908203125;0,86292165517807;1;1;3
"183";3;2;1;4;99;9111;99;9998;2;4;4;1000;2;5132;1;15107;0,967498123645782;4;1;1
"184";3;1;1;2;1;9994;99;9211;1;3;4;14;14;NA;1;17713,900390625;1,1344518661499;4;0;1
"185";3;1;1;3;1;9412;99;9998;2;3;4;1200;2;5221;1;18266,544921875;1,16984498500824;1;1;2
"186";3;2;1;4;9;9994;99;9613;1;9;3;1300;2;9612;1;15107;0,967498123645782;4;1;3
"187";3;2;3;8;1;9994;1;6225;2;5;2;2750;5;5243;1;13474,0908203125;0,86292165517807;1;1;2
"188";3;2;1;3;1;9111;1;5414;1;3;5;14;14;5142;1;15107;0,967498123645782;1;1;3
"189";3;1;1;4;9;9994;1;1219;1;7;3;500;1;NA;1;17713,900390625;1,1344518661499;4;0;1
"190";3;2;1;2;2;2341;2;7115;2;2;2;928;2;5243;1;14555,7275390625;0,932192921638489;1;1;1
"191";3;2;2;2;9;6225;99;9211;2;5;2;450;1;5243;1;16829,400390625;1,07780587673187;2;1;1
"192";3;1;3;3;1;9994;1;6225;5;3;2;1000;2;NA;1;16094,5;1,03074061870575;1;0;1
"193";3;1;3;2;9;9994;9;6225;2;7;3;1900;3;7112;1;16924,091796875;1,08387017250061;2;1;2
"194";3;1;1;2;1;9994;1;6225;2;5;3;500;1;7112;1;18266,544921875;1,16984498500824;2;1;1
"195";3;2;2;1;9;9994;99;9520;1;6;3;14;1;NA;1;17178,953125;1,10019218921661;4;0;3
"196";3;2;1;3;2;7536;1;9623;2;6;3;15;1;NA;1;12900;0,826155126094818;2;0;1
"197";3;2;3;2;1;9211;99;7112;2;4;3;14;1;5243;1;18104,19921875;1,15944790840149;1;1;2
"198";3;1;3;2;99;5120;99;7214;1;3;3;14;2;7212;1;15107,818359375;0,96755051612854;1;1;3
"199";3;1;1;2;1;9111;1;5223;1;4;4;14;2;NA;1;12464,142578125;0,798241555690765;3;0;1
